key,value,date
Technical/Computing,0,11/27/16
Directional,1,11/27/16
Reference,0,11/27/16
Service,0,11/27/16
Technical/Computing,2,11/28/16
Directional,1,11/28/16
Reference,1,11/28/16
Service,3,11/28/16
Technical/Computing,0,11/29/16
Directional,1,11/29/16
Reference,8,11/29/16
Service,3,11/29/16
Technical/Computing,4,11/30/16
Directional,0,11/30/16
Reference,7,11/30/16
Service,4,11/30/16
Technical/Computing,3,12/01/16
Directional,4,12/01/16
Reference,2,12/01/16
Service,3,12/01/16
Technical/Computing,0,12/02/16
Directional,0,12/02/16
Reference,2,12/02/16
Service,0,12/02/16
Technical/Computing,0,12/03/16
Directional,0,12/03/16
Reference,0,12/03/16
Service,0,12/03/16
Technical/Computing,0,12/04/16
Directional,0,12/04/16
Reference,0,12/04/16
Service,3,12/04/16
Technical/Computing,1,12/05/16
Directional,0,12/05/16
Reference,2,12/05/16
Service,3,12/05/16
Technical/Computing,1,12/06/16
Directional,1,12/06/16
Reference,2,12/06/16
Service,4,12/06/16
Technical/Computing,1,12/07/16
Directional,0,12/07/16
Reference,2,12/07/16
Service,8,12/07/16
Technical/Computing,2,12/08/16
Directional,1,12/08/16
Reference,4,12/08/16
Service,9,12/08/16
Technical/Computing,0,12/09/16
Directional,1,12/09/16
Reference,1,12/09/16
Service,2,12/09/16
Technical/Computing,0,12/10/16
Directional,0,12/10/16
Reference,0,12/10/16
Service,0,12/10/16
Technical/Computing,0,12/11/16
Directional,0,12/11/16
Reference,0,12/11/16
Service,0,12/11/16
Technical/Computing,0,12/12/16
Directional,1,12/12/16
Reference,1,12/12/16
Service,4,12/12/16
Technical/Computing,3,12/13/16
Directional,0,12/13/16
Reference,3,12/13/16
Service,4,12/13/16
Technical/Computing,4,12/14/16
Directional,0,12/14/16
Reference,1,12/14/16
Service,6,12/14/16
Technical/Computing,3,12/15/16
Directional,0,12/15/16
Reference,3,12/15/16
Service,7,12/15/16
Technical/Computing,4,12/16/16
Directional,0,12/16/16
Reference,3,12/16/16
Service,6,12/16/16
Technical/Computing,0,12/17/16
Directional,0,12/17/16
Reference,0,12/17/16
Service,1,12/17/16
Technical/Computing,0,12/18/16
Directional,0,12/18/16
Reference,0,12/18/16
Service,2,12/18/16
